종목명,항목,내용
가스기능사,변천과정,’83.12.20.대통령령 제11281호95.10.16. 대통령령 제14783호’98.05.09. 대통령령 제15794호현재고압가스취급기능사2급고압가스기능사2급가스기능사가스기능사고압가스기계기능사2급고압가스화학기능사2급
가스기능사,수행직무,"고압가스 제조, 저장 및 공급시설, 용기, 기구 등의 제조 및 수리시설을 시공, 조작, 검 사하기 위한 기술적 사항의 관리, 생산공정에서 가스생산기계 및 장비를 운전하고 충전 하기 위해 예방조치 점검과 고압가스충전용기의 운반, 관리 및 용기 부속품 교체 등의  업무 수행. "
가스기능사,실시기관 홈페이지,http://www.q-net.or.kr
가스기능사,실시기관명,한국산업인력공단 
가스기능사,위 자격취득자에 대한 법령상 우대현황,"순번법령명조문내역활용내용1건설기계관리법 시행규칙제33조 검사대행자등(별표9)건설기계검사대행자의인력기준2건설기술진흥법시행규칙제50조품질시험및검사의실시(별표5)건설공사 품질관리를 위한 품질관리자의 배치기준3건설산업기본법 시행령제13조 건설업의 등록기준(별표2)건설업의 등록기준4건설산업기본법 시행령제35조 건설기술자의 현장배치기준등(별표5)공사예정금액의 규모별 건설기술자 배치기준5경비업법 시행령제3조 허가신청 등(별표1)경비업의 허가를 받고자 하는 경우 인력기준6경찰공무원 승진임용 규정 시행규칙제15조 가점평정가점평정7경찰공무원임용령제16조 특별채용의 요건특별채용의 자격8고등학교 졸업학력 검정고시 규칙제12조 과목면제고시합격자로 가늠 또는 과목면제9공무원수당 등에 관한 규정제14조 특수업무수당(별표11)특수업무수당지급10공무원임용시험령제18조 응시에 필요한 자격증(별표5)채용시험과 전직시험에 응시 자격11공무원임용시험령제27조 특별채용시험의 응시자격 등(별표7, 8)특별채용시험에 응시12공무원임용시험령제31조 채용시험의 특전(별표12)6급 이하 공무원 및 기능직공무원 채용시험 가산대상 자격증13공연법 시행령제10조의2 안전진단기관의 지정요건(별표1)안전진단기관의 지정요건14공연법 시행령제10조의4무대예술전문인자격검정의응시기준(별표2)무대예술전문인 자격검정의 등급별 응시기준15공연법 시행규칙제6조의4무대예술전문인자격검정의응시무대예술전문인의 자격검정에 응시하고자 하는 자의 자격16공직자윤리법 시행령제34조 취업승인관할 공직자윤리위원회가 취업승인을 하는 경우17공직자윤리법의 시행에 관한 대법원규칙제37조취업승인신청퇴직공직자의 취업승인 요건18공직자윤리법의 시행에 관한 헌법재판소규칙제20조 취업승인퇴직공직자의 취업승인 요건19관광진흥법 시행규칙제70조 안전성검사기관 등록 요건(별표24)안전성검사기관 등록 시 인력 요건20교원자격검정령 시행규칙제9조 무시험검정의 신청실기교사무시험검정인 때에는 국가기술자격증 사본(해당과목에 한한다)을 첨부하여야 무시험자격21교육감 소속 지방공무원 평정규칙제23조 자격증 등의 가점5급 이하 공무원, 연구사&middot;지도사 및 기능직공무원이 자격증을 소지한 경우 점수 가점 평정22국가공무원법제36조의2 채용시험의 가점채용시험의 가점23국가과학기술 경쟁력강화를 위한 이공계지원특별법 시행령제2조 이공계인력의 범위 등이공계인력의 정의24국가과학기술 경쟁력강화를 위한 이공계지원특별법 시행령제20조 연구기획평가사의 자격시험연구기획평가사 자격시험 일부 면제25국가기술자격법제14조 국가기술자격 취득자에 대한 우대국가기술자격 취득자를 우대26국가기술자격법 시행령제12조의2국가기술자격의등급과응시자격(별표1의2)기술&middot;기능분야 국가기술자격의 응시자격27국가기술자격법 시행령제27조 국가기술자격취득자의 취업 등에 대한 우대채용&middot;보수 및 승진 등에 있어 해당 직무분야의 국가기술자격취득자를 우대28국가기술자격법 시행규칙제21조 시험위원의 자격 등(별표16)시험위원의 자격29국가를 당사자로 하는 계약에 관한 법률 시행규칙제7조 원가계산을 할 때 단위당 가격의 기준가격을 적용함에 있어 해당 노임단가에 그 노임단가의 100분의 15 이하에 해당하는 금액을 가산30국외유학에 관한 규정제5조 자비유학자격자비유학을 할수 있는자31국회인사규칙제20조경력경쟁채용등의요건동종직무에 관한 자격증소지자를 특별채용하는 경우32군무원인사법 시행령제10조 특별채용 요건특별채용시험에 의하여 신규채용할 수 있는 자격33군무원인사법 시행규칙제16조 시험과목의 일부 면제 등국가에서 실시한 각종 자격&middot;면허시험에 합격한 사람의 자격이 임용예정 직급과 관련이 있는 경우에는 그 자격&middot;면허시험에 이미 응시한 시험과목에 대한 시험은 면제34군무원인사법 시행규칙제27조 가산점(별표4)승진후보자 명부작성시 자격증 및 면허증 소지자 가산35군인사법 시행령제44조 전역보류(별표2, 5)정밀장비기술자, 군의 필수기술분야에 종사하는 자의 범위36군인사법 시행규칙제14조 부사관의 임용부사관의 자격37궤도운송법 시행규칙제18조 안전검사업무의 위탁 등(별표1)안전검사업무를 위탁받기 위하여 갖추어야 하는 기술인력38근로자직업능력 개발법 시행령제27조 직업능력개발훈련을 위하여 근로자를 가르칠 수 있는 사람직업능력개발훈련교사의 정의39근로자직업능력 개발법 시행령제28조직업능력개발훈련교사의자격취득(별표2)직업능력개발훈련교사의자격40근로자직업능력 개발법 시행령제38조 다기능기술자과정의 학생선발방법정원 내 특별전형대상자41근로자직업능력 개발법 시행령제44조 교원 등의 임용교원을 임용할 때 자격증 소지자 우대42기술사법제6조 기술사사무소의 개설 등록등합동기술사 사무소 개설에 필요한 자격43기술사법 시행령제19조 합동기술사사무소의 등록기준 등합동사무소구성원의 요건44독학에 의한 학위취득에 관한 법률 시행령제9조 시험과목면제 대상시험과목의 전부 또는 일부를 면제받을 수 있는 자45독학에 의한 학위취득에 관한 법률 시행규칙제4조 국가기술자격취득자에 대한 시험면제범위등자격취득분야와 동일한 분야의 시험에 응시하는 자에 대하여는 해당 과정별 인정시험 면제46문화산업진흥 기본법 시행령제26조 기업부설창작연구소 등의 인력ㆍ시설 등의 기준기업부설창작연구소의 인력기준47발명진흥법 시행령제8조의5특허기술정보센터의등록기준등(별표3)특허기술정보센터의 등록요건48병역법제53조 전시근로소집 대상 등전시근로소집 대상49병역법 시행령제79조 기간산업 분야 종사자 등의 산업기능요원 편입(별표2)기간산업분야종사자등의 산업기능요원 편입50병역법 시행령제83조 전문연구요원 및 산업기능요원이 종사할 해당 분야 등분야에 종사해야할 전문연구요원 및 산업기능요원51부품&middot;소재전문기업 등의 육성에 관한 특별조치법 시행령제14조 부품&middot;소재기술개발전문기업의 지원기준 등부품&middot;소재기술개발전문기업의 기술개발전담요원52비상대비자원 관리법제2조 대상자원의 범위대상자원의 범위53산업안전보건법 시행규칙제74조 검사원의 자격검사원의 자격54선거관리위원회 공무원규칙제21조경력경쟁채용등의요건(별표4)동종직무에 관한 자격증소지자를 특별채용55선거관리위원회 공무원규칙제28조 전직의 요건(별표12)전직의 요건56선거관리위원회 공무원규칙제29조 전직시험의 면제(별표12)전직시험의 면제57선거관리위원회 공무원규칙제83조 응시에 필요한 자격증(별표12)채용시험과 전직시험에 응시하는 자의 자격58선거관리위원회 공무원규칙제88조 시험의 일부면제시험의 일부면제59선거관리위원회 공무원평정규칙제23조 자격증의 가점(별표5)자격증의 가점평정60소방공무원 승진임용 규정 시행규칙제15조의2 가점평정소방공무원이 당해 계급에서 자격증을 취득한 때 가점평정61소방공무원임용령 시행규칙제19조 초임소방공무원의 보직(별표6)행정안전부령이 정하는 자격증소지자62소방공무원임용령 시행규칙제23조 응시자격등의 기준(별표2)특별채용시험에 응시할 수 있는 자63소방공무원임용령 시행규칙제24조 채용시험의 특전(별표6)소방간부후보생선발시험과 소방사&middot;지방소방사의 공개경쟁채용시험에 있어서의 자격증 가점비율64수도법 시행규칙제12조 수도시설관리자의 자격수도시설관리자의 자격65승강기시설 안전관리법 시행규칙제22조 검사기관의 검사인력 및 검사설비(별표7의3)검사기관의 검사인력66안전행정부소관비상대비자원관리법시행규칙제2조 인력자원의 관리직종(별표)인력자원 관리직종의 자격 구분표67여성과학기술인육성및지원에관한법률시행령제2조 정의여성과학기술인의 자격68연구직 및 지도직공무원의 임용 등에 관한 규정제7조의2 특별채용시험의 응시자격(별표2의5)연구직 또는 지도직공무원의 특별채용시험 응시 자격69연구직 및 지도직공무원의 임용 등에 관한 규정제12조 전직시험의 면제(별표2의5)전직시험없이 전직임용 자격70연구직 및 지도직공무원의 임용 등에 관한 규정제26조의2 채용시험의 특전(별표5, 7)연구사 및 지도사공무원 채용시험 응시하는 경우 점수 가산71원자력안전법시행령제118조응시자격(별표5)원자력관계종사자의 면허시험 응시자격72장애인 등에 대한 특수교육법 시행령제17조 전문인력의 자격 기준 등자격이 있는 진로 및 직업교육을 담당하는 전문인력73정보통신공사업법 시행령제10조 감리원의 자격기준 등(별표2)감리원의 자격기준74정보통신공사업법 시행령제21조 등록기준(별표3)공사업 등록기준75정보통신공사업법 시행령제40조 정보통신기술자의 자격기준 등(별표6)정보통신기술자의 자격기준76정보통신망 이용촉진 및 정보보호 등에 관한 법률 시행령제36조의4정보보호사전점검의방법및절차등(별표2)정보보호 기술인력의 자격기준77중소기업인력지원 특별법제28조 근로자의 창업지원 등당해 직종과 관련된 분야에서 신기술에 기반한 창업을 하고자 하는 경우 지원78중소기업제품 구매촉진 및 판로지원에 관한 법률 시행규칙제12조시험연구원의지정등(별표3)시험연구원의 지정기준79중소기업진흥에 관한 법률제48조 1차 시험의 면제1차 시험을 면제80중소기업창업 지원법 시행령제6조 창업보육센터사업자의 지정(별표1)창업보육센터사업자의 전문인력81중소기업창업 지원법 시행령제20조 중소기업상담회사의 등록요건(별표1)중소기업상담회사가 보유하여야 하는 전문인력82지방공무원법제34조의2 신규임용시험의 가점공무원 신규임용시험시 점수 가산83지방공무원 임용령제17조경력경쟁임용시험등을통한임용의요건특별임용 하려는 경우84지방공무원 임용령제55조의3 자격증 소지자에 대한 신규임용시험의 특전6급 이하 공무원 및 기능직공무원 신규임용시험 시 필기시험 점수 가산85지방공무원 평정규칙제23조 자격증 등의 가점5급 이하 공무원, 연구사&middot;지도사 및 기능직공무원이 자격증을 소지한 경우 점수 가점 평정86지방자치단체를당사자로하는계약에관한법률시행령제57조 주민참여감독자의 자격주민대표자의추천을받을수있는사람의자격기준87지방자치단체를 당사자로 하는 계약에 관한 법률 시행령제106조 계약심의위원회의 구성계약심의위원회의 위원88지방자치단체를 당사자로 하는 계약에 관한 법률 시행규칙제7조 원가계산을 할 때 단위당 가격의 기준지방자치단체의 장 또는 계약담당자는 가격을 적용함에 있어 당해 노임단가에 동 노임단가의 100분의 15이하에 해당하는 금액을 가산89지역균형개발 및 지방중소기업 육성에 관한 법률 시행령제59조 인력의 지역정착지원인력의 지역정착지원90토양환경보전법 시행령제17조의4 토양정화업의 등록요건 등(별표2)토양정화업의 등록을 하고자 하는 자가 갖추어야 하는 기술인력91통신비밀보호법 시행령제30조 불법감청설비탐지업의 등록요건(별표1)불법감청설비탐지업의 등록요건92항로표지법 시행규칙제32조 검사대행기관의 지정신청(별표4)검사대행기관의 지정기준93해양경찰청 소속 경찰공무원임용령 시행규칙제34조 응시자격등의 기준(별표3)특별채용시험 응시 자격94해양경찰청소속경찰공무원승진임용규정시행규칙제15조 가점평정(별표7)가점평정95해양환경관리법 시행규칙제74조 업무대행자의 지정(별표28)해양환경측정기기의 정도검사&middot;성능시험&middot;검정 업무 대행자 지정기준96헌법재판소 공무원 규칙제21조 전직시험의 면제(별표7)전직시험의 면제97헌법재판소 공무원 규칙제71조 응시에 필요한 자격증(별표10)채용시험과 전직시험의 응시에 필요한 자격98헌법재판소공무원수당등에관한규칙제6조 특수업무수당(별표2)특수업무수당지급99헌법재판소 공무원 평정 규칙제23조 자격증가점(별표4)5급이하 및 기능직공무원 자격증 취득자 가점 평정100환경분야 시험&middot;검사 등에 관한 법률 시행규칙제10조검사기관의지정등(별표6)검사대행자가 갖추어야 하는 기술능력※ 한국산업인력공단에서는 국민 알권리 충족 및 정보 공개의 확대를 위하여 위 정보를 제공하고 있습니다. 단, 세부 법령에 대한 유권해석 및 적용 관련 사항에 대한 정확한 안내는 관련법을 제정한 소관부처에서 가능하니 참고하시기 바랍니다. 업데이트 일자: '14.11.13"
가스기능사,진로 및 전망,"- 고압가스 제조업체·저장업체·판매업체에 기타 도시가스 사업소, 용기제조업소, 냉동   기계제조업체 등 전국의 고압가스 관련업체로 진출할 수 있다. - 최근 국민 생활수준의 향상과 산업의 발달로 연료용 및 산업용 가스의 수급 규모가    대형화되고, 가스시설의 복잡·다양화됨에 따라 가스 사고건수가 급증하고 사고 규모   도 대형화되는 추세이다. 한국가스안전공사의 자료에 의하면 가스사고로 인한 인명   피해가 1997년 467명에서 1998년에는 551명"
가스기능사,출제경향,"가스설비, 운전, 저장 및 공급에 대한 취급과 가스장치의 고장 진단 및 유지관리 및가스안전관리에 관한 업무를 수행할 수 있는지의 능력을 평가(공개문제를 참조) "
가스기능사,취득방법,"① 시 행 처 : 한국산업인력공단 ② 관련학과 : 실업계 고등학교 및 전문대학의 기계공학 또는 화학공학 관련학과 ③ 시험과목 - 필기 : 1.가스안전관리 2.가스장치 및 기기 3.가스일반  - 실기 : 가스 실무 ④ 검정방법 - 필기 : 전과목혼합, 객관식 60문항 (60분)  - 실기 : 작업형[동영상(1시간)+배관작업(2시간정도)] ⑤ 합격기준 : 100점 만점에 60점 이상 득점자 "
거푸집기능사,개요,"건축구조물의 대형화, 새로운 시공방법의 개발, 특수재료의 개발 등 건설공사의 급격한  발달과 증가로 인하여 많은 기능인력이 필요하게 됨에 따라 자격제도 제정. "
거푸집기능사,변천과정,’74.10.16. 대통령령 제7283호’98.05.09. 대통령령 제15794호현재거푸집기능사2급거푸집기능사거푸집기능사
거푸집기능사,수행직무,"목공용 수공구를 사용하여 합판, 각재 및 판재 등으로 도면에 따라 거푸집 널을 제작· 설치하거나 기성 철제거푸집을 조립·설치 후 콘크리트가 굳으면 거푸집을 해체·정리 하는 작업 수행. "
거푸집기능사,실시기관 홈페이지,http://www.q-net.or.kr
거푸집기능사,실시기관명,한국산업인력공단 
거푸집기능사,위 자격취득자에 대한 법령상 우대현황,"순번법령명조문내역활용내용1건설산업기본법 시행령제13조 건설업의 등록기준(별표2)건설업의 등록기준2건축법 시행령제19조 공사감리건축공사감리3경찰공무원임용령제16조 특별채용의 요건특별채용의 자격4고등학교 졸업학력 검정고시 규칙제12조 과목면제고시합격자로 가늠 또는 과목면제5공무원임용시험령제31조 채용시험의 특전(별표10, 12)6급 이하 공무원 및 기능직공무원 채용시험 가산대상 자격증6공연법 시행령제10조의2 무대예술전문인 자격검정의 응시기준(별표2)무대예술전문인 자격검정의 등급별 응시기준7공직자윤리법 시행령제34조 취업승인관할 공직자윤리위원회가 취업승인을 하는 경우8공직자윤리법의 시행에 관한 대법원규칙제37조 취업승인퇴직공직자의 취업승인 요건9공직자윤리법의 시행에 관한 헌법재판소규칙제20조 취업승인퇴직공직자의 취업승인 요건10교원자격검정령 시행규칙제9조 무시험검정의 신청실기교사무시험검정인 때에는 국가기술자격증 사본(해당과목에 한한다)을 첨부하여야 무시험자격11교육감 소속 지방공무원 평정규칙제23조 자격증 등의 가점5급 이하 공무원, 연구사·지도사 및 기능직공무원이 자격증을 소지한 경우 점수 가점 평정12국가공무원법제36조의2 채용시험의 가점채용시험의 가점13국가기술자격법제14조 국가기술자격 취득자에 대한 우대국가기술자격 취득자를 우대14국가기술자격법 시행규칙제21조 시험위원의 자격 등(별표16)시험위원의 자격15국가기술자격법 시행규칙제3조 응시자격(별표3, 4)산업기사 응시자격16국가기술자격법 시행령제10조 국가기술자격의 등급과 응시자격(별표1의2)기술·기능분야 국가기술자격의 응시자격17국가기술자격법 시행령제27조 국가기술자격취득자의 취업 등에 대한 우대채용·보수 및 승진 등에 있어 해당 직무분야의 국가기술자격취득자를 우대18국가를 당사자로 하는 계약에 관한 법률 시행규칙제7조 원가계산을 할 때 단위당 가격의 기준가격을 적용함에 있어 해당 노임단가에 그 노임단가의 100분의 15 이하에 해당하는 금액을 가산19국회인사규칙제20조 특별채용의 요건동종직무에 관한 자격증소지자를 특별채용하는 경우20군무원인사법 시행규칙제16조 시험과목의 일부 면제 등국가에서 실시한 각종 자격·면허시험에 합격한 사람의 자격이 임용예정 직급과 관련이 있는 경우에는 그 자격·면허시험에 이미 응시한 시험과목에 대한 시험은 면제21군무원인사법 시행규칙제27조 가산점(별표4)승진후보자 명부작성시 자격증 및 면허증 소지자 가산22군무원인사법 시행령제10조 특별채용 요건(별표4)특별채용시험에 의하여 신규채용할 수 있는 자격23군인사법 시행규칙제14조 부사관의 임용부사관의 자격24근로자직업능력 개발법 시행령제27조 직업능력개발훈련을 위하여 근로자를 가르칠 수 있는 사람직업능력개발훈련교사의 정의25근로자직업능력 개발법 시행령제28조 직업능력개발훈련교사의 자격 취득(별표1)직업능력개발훈련교사의자격 26근로자직업능력 개발법 시행령제38조 다기능기술자과정의 학생선발방법정원 내 특별전형대상자27근로자직업능력 개발법 시행령제44조 교원 등의 임용교원을 임용할 때 자격증 소지자 우대28기능장려법 시행령제3조 영업의 우선적 인ㆍ허가등영업의 우선적 인ㆍ허가등29독학에 의한 학위취득에 관한 법률 시행령제9조 시험과목면제 대상시험과목의 전부 또는 일부를 면제받을 수 있는 자30법원공무원규칙제19조 특별채용시험의 응시요건등(별표5의1)특별채용시험의 응시요건31병역법제53조 전시근로소집 대상 등전시근로소집 대상32병역법 시행령제79조 기간산업 분야 종사자 등의 산업기능요원 편입(별표2)기간산업분야종사자등의 산업기능요원 편입33병역법 시행령제83조 전문연구요원 및 산업기능요원이 종사할 해당 분야 등분야에 종사해야할 전문연구요원 및 산업기능요원34비상대비자원 관리법제2조 대상자원의 범위대상자원의 범위35산업안전보건법 시행규칙제80조의5 석면해체·제거업자의 인력·시설 및 장비기준(별표10의4)석면해체 제거업자의 인력기준36선거관리위원회 공무원규칙제29조 전직시험의 면제(별표13, 15)전직시험의 면제37선거관리위원회 공무원규칙제89조 채용시험의 특전(별표14, 15)자격증의 소지자가 6급이하 공무원채용시험에 응시하는 경우 점수 가산38선박직원법 시행령제11조 시험과목필기시험의 해당 과목을 면제39소방기본법 시행규칙제12조 화재조사전담부서의 설치ㆍ운영 등화재조사전담부서의 장40소방시설 설치유지 및 안전관리에 관한 법률 시행령제8조 소방검사자의 자격소방공무원으로서 소방검사자의 자격41에너지이용 합리화법 시행령제30조 에너지절약전문기업의 등록 등(별표2)에너지절약전문기업으로 등록을 하려는 자42에너지이용 합리화법 시행령제39조 진단기관의 지정기준(별표4)진단기관이보유하여야하는기술인력 43유해·위험작업의 취업제한에 관한 규칙제3조 자격ㆍ면허등이 필요한 작업의 범위등(별표1)규정에 의한 취업을 제한하는 작업과 그 작업에 필요한 자격44장애인 등에 대한 특수교육법 시행령제17조 전문인력의 자격 기준 등자격이 있는 진로 및 직업교육을 담당하는 전문인력45중소기업인력지원 특별법제28조 근로자의 창업지원 등당해 직종과 관련된 분야에서 신기술에 기반한 창업을 하고자 하는 경우 지원46지방공무원 임용령제17조 특별임용의 요건특별임용 하려는 경우47지방공무원 임용령제55조의3 자격증 소지자에 대한 신규임용시험의 특전6급 이하 공무원 및 기능직공무원 신규임용시험 시 필기시험 점수 가산48지방공무원 평정규칙제23조 자격증 등의 가점5급 이하 공무원, 연구사·지도사 및 기능직공무원이 자격증을 소지한 경우 점수 가점 평정49지방공무원법제34조의2 신규임용시험의 가점공무원 신규임용시험시 점수 가산50지방자치단체를 당사자로 하는 계약에 관한 법률제57조 주민참여감독자의 자격주민대표자의추천을받을수있는사람의자격기준 51지방자치단체를 당사자로 하는 계약에 관한 법률 시행규칙제7조 원가계산을 할 때 단위당 가격의 기준지방자치단체의 장 또는 계약담당자는 가격을 적용함에 있어 당해 노임단가에 동 노임단가의 100분의 15이하에 해당하는 금액을 가산52지방자치단체를 당사자로 하는 계약에 관한 법률 시행령제106조 계약심의위원회의 구성계약심의위원회의 위원53지역균형개발 및 지방중소기업 육성에 관한 법률 시행령제59조 인력의 지역정착지원인력의 지역정착지원54행정안전부 및 소방방재청 소관 비상대비자원관리법 시행규칙제2조 인력자원의 관리직종(별표)인력자원 관리직종의 자격 구분표55헌법재판소 공무원 수당규칙제6조 특수업무수당(별표2)특수업무수당지급"
